Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
3WC	Three Way Call
4WD	Four Wheel Drive
9TOO10	Nine Times Out Of Ten
A1	Ameol 1 
A2	Ameol 2
AA	Alcoholics Anonymous/Automobile Association/Always Allowed/Acceptable Acronym
AAA	Amateur Athletic Association/Any Advice Appreciated/As An Aside
AAATIIASOAIIA	Aiding And Abetting The Introduction Into A Sentence Of An Illegal Immigrant Apostrophe
AABIAR	As A Bug In A Rug
AAC	Assistant Area Commissioner
AAF	Arse About Face
AAIDK	Another Acronym I Didn't Know
AAIR	Anyway, As I Recall
AAMOF	As A Matter Of Fact
AAMOI	As A Matter Of Interest
AAWBRA	Any Assistance Would Be Really Appreciated
AAWMV	And Always Wear My Vest
AB	After/Absolute Bollocks
ABC	Acceptable Behaviour Contracts
ABSL	Assistant Beaver Scout Leader
AC	Alternating Current/Area Commissioner
ACB	Any Colour But…
ACBB	Any Colour But Black/Blue
ACBG	Any Colour But Green/Grey
ACBO	Any Colour But Orange
ACBR	Any Colour But Red
ACBW	Any Colour But White
ACBY	Any Colour But Yellow
ACC	Assistant County Commissioner
ACL	Access Control List
ACPO	Association of Chief Police Officers
ACR	Anonymous Call Rejection
ACRONYM	A Clever manneR Of Notifying Your Meaning
ACSL	Assistant Cub Scout Leader
ACT	Australian Capital Territory
ACW	American Civil War
AD	Anno Domini
ADC	Analogue-to-Digital Converter/Assistant District Commissioner
ADCOMSUBORDCOMPHIBSPAC	ADministrative COMmand, SUBORDinate COMmand, AmPHIBiouS Forces, PACific Fleet
ADD	Attention Deficit Disorder
ADF	Adapter Definition File (see MCA)
ADGR	All Donations Gratefully Received
ADHD	Attention Deficit Hyperactivity Disorder
ADM	Annual Divisional Meeting
ADN	Any Day Now
ADPCM	Adaptive Digital Pulse Code Modulation (an audio compression technique based on PCM)
ADR	American Depository Receipt
ADSL	Asymmetric Digital Subscriber Line
AESL	Assistant Explorer Scout Leader
AFAIAA	As Far As I Am Aware
AFAIAC	As Far As I Am Concerned
AFAIC	As Far As I Care
AFAICR	As Far As I Can Recall
AFAICS	As Far As I Can See
AFAICT	As Far As I Can Tell
AFAICWO	As Far As I Can Work Out
AFAIK	As Far As I Know
AFAIR	As Far As I Recall
AFAIU	As Far As I Understand
AFAIUI	As Far As I Understand It
AFATAC	As Far As They Are Concerned
AFAWCT	As Far As We Can Tell
AFK	Away From Keyboard
AFN	American Forces Network
AFOAL	A F**k Of A Lot
AFP	Ameol File Protocol
AFT	Apart From Then/That
AFTLOTM	Apologies For The Length Of This Message
AFTLOTMAW	Apologies For The Length Of This Message As Well
AG	Appreciative Groan 
AGAN	As Good As New
AGC	Automatic Gain Control
AGCHTMEG	A Girl Can't Have Too Many E-Groats
AGM	Annual General Meeting
AGP	Accelerated Graphics Port
AGSL	Assistant Group Scout Leader
AGTN	Altes Global Communications Network
AH	Alternate History
AHWBA	Any Help Will Be Appreciated
AI	Artificial Intelligence
AIAA	American Institute of Aeronautics and Astronautics
AIBO	Am I Better Off
AICM	And I Claim My ....
AICM£5	And I Claim My £5
AICM5P	And I Claim My 5 Pounds
AIDK	Acronym I Didn't Know
AIH	As It Happens
AILAL	As I Live And Learn 
AIM	AOL Instant Messenger
AINW	All Is Not Well
AIR	As I Recall
AIRI	As I Recall It
AISB	As I Said Before
AISTR	As I Seem To Recall
AIUBTUBA	And If yoU Believe That yoU'll Believe Anything
AIUI	As I Understand It
AIW	And I Wish/As I Would/As It Were
AIYBTYBA	And If You Believe That You'll Believe Anything
AKA	Also Known As
AKC	Associate of King's College (London)
AL	Acronym List/Alabama
ALA	Abandoned Long Ago/Aliter Lex Ait (Latin: the law says something different, epigraphy)
ALARM	Advanced Lightweight Anti-Radar Missile/Air Launched Anti-Radar 
ALOTA	A Lot Of Them About
ALOTBSOL	Always Look On The Bright Side Of Life!
AM	Amplitude Modulation/Assembly Member/Ante Meridiem
AMD	Advanced Micro Devices
